CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,PreviousName_3.CONDATE, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName,ConfStmtNextDueDate, ConfStmtLastMadeUpDate
FOUNDRY IT LIMITED,12468084,"","",90 DOUGLAS ROAD,LONG EATON,NOTTINGHAM,"",UNITED KINGDOM,NG10 4BD,Private Limited Company,Active - Proposal to Strike off,United Kingdom,"",17/02/2020,29,2,17/11/2021,"",NO ACCOUNTS FILED,17/03/2021,"",0,0,0,0,61900 - Other telecommunications activities,62020 - Information technology consultancy activities,62090 - Other information technology service activities,"",0,0,http://business.data.gov.uk/id/company/12468084,"","","","","","","","","","","","","","","","","","","","",02/03/2022,16/02/2021
FOUNDRY JVCO LIMITED,12897126,"","",FOREST GLEN,COPPICE ROW,EPPING,"",ENGLAND,CM16 7ES,Private Limited Company,Active,United Kingdom,"",22/09/2020,30,9,30/06/2023,30/09/2021,DORMANT,20/10/2021,"",0,0,0,0,68209 - Other letting and operating of own or leased real estate,"","","",0,0,http://business.data.gov.uk/id/company/12897126,22/09/2021,FOUNDRY WORK SHOP MEET EAT STAY LIMITED,"","","","","","","","","","","","","","","","","","",05/10/2022,21/09/2021
FOUNDRY LANE LTD,NI667815,"","",45 RANFURLY AVENUE,"",BANGOR,CO. DOWN,UNITED KINGDOM,BT20 3SJ,Private Limited Company,Active,United Kingdom,"",18/02/2020,29,2,30/11/2022,28/02/2021,DORMANT,18/03/2021,"",0,0,0,0,68320 - Management of real estate on a fee or contract basis,"","","",0,0,http://business.data.gov.uk/id/company/NI667815,"","","","","","","","","","","","","","","","","","","","",03/03/2022,17/02/2021
FOUNDRY LANE MEDICAL LIMITED,11039295,"","",THE BURNHAM SURGERY,FOUNDRY LANE,BURNHAM-ON-CROUCH,ESSEX,UNITED KINGDOM,CM0 8SJ,Private Limited Company,Active,United Kingdom,"",31/10/2017,31,10,31/07/2022,31/10/2020,TOTAL EXEMPTION FULL,28/11/2018,"",0,0,0,0,86210 - General medical practice activities,"","","",0,0,http://business.data.gov.uk/id/company/11039295,"","","","","","","","","","","","","","","","","","","","",13/11/2022,30/10/2021
FOUNDRY LANE PROPERTIES LIMITED,00455150,"","",107 THE BROADWAY,LEIGH-ON-SEA,ESSEX,"","",SS9 1PG,Private Limited Company,Active,United Kingdom,"",07/06/1948,31,5,28/02/2023,31/05/2021,MICRO ENTITY,01/10/2016,03/09/2015,3,3,0,0,64991 - Security dealing on own account,"","","",0,0,http://business.data.gov.uk/id/company/00455150,"","","","","","","","","","","","","","","","","","","","",17/09/2022,03/09/2021
FOUNDRY LANE VALETING LIMITED,10597838,C/O,"","APEX HOUSE, 2ND FLOOR",GRAND ARCADE,LONDON,"",UNITED KINGDOM,N12 0EH,Private Limited Company,Active,United Kingdom,"",02/02/2017,28,2,30/11/2022,28/02/2021,TOTAL EXEMPTION FULL,02/03/2018,"",0,0,0,0,45200 - Maintenance and repair of motor vehicles,"","","",0,0,http://business.data.gov.uk/id/company/10597838,"","","","","","","","","","","","","","","","","","","","",15/02/2022,01/02/2021
FOUNDRY LOUGHBOROUGH LIMITED,11104395,"","",C/O MICHAEL HEAVEN & ASSOCIATES LIMITED 47 CALTHORPE ROAD,EDGBASTON,BIRMINGHAM,WEST MIDLANDS,UNITED KINGDOM,B15 1TH,Private Limited Company,Active,United Kingdom,"",08/12/2017,30,4,31/01/2023,30/04/2021,UNAUDITED ABRIDGED,05/01/2019,"",6,3,0,3,68100 - Buying and selling of own real estate,68209 - Other letting and operating of own or leased real estate,"","",0,0,http://business.data.gov.uk/id/company/11104395,02/07/2018,FOUNDRY 39 LIMITED,"","","","","","","","","","","","","","","","","","",24/07/2022,10/07/2021
FOUNDRY MACHINERY & SPARES LIMITED,06610843,"","",UNIT G & H FRYERS CLOSE,BLOXWICH,WALSALL,WEST MIDLANDS,UNITED KINGDOM,WS3 2XQ,Private Limited Company,Active,United Kingdom,"",04/06/2008,31,12,30/09/2022,31/12/2020,TOTAL EXEMPTION FULL,02/07/2017,04/06/2016,2,2,0,0,28290 - Manufacture of other general-purpose machinery n.e.c.,"","","",0,0,http://business.data.gov.uk/id/company/06610843,03/10/2008,F M S HOLDINGS LIMITED,"","","","","","","","","","","","","","","","","","",18/06/2022,04/06/2021
FOUNDRY METALLURGICAL PARTNERS LTD,09406132,"","",2 JEREMY ROAD,"",WOLVERHAMPTON,"",ENGLAND,WV4 5BX,Private Limited Company,Active,United Kingdom,"",26/01/2015,31,12,30/09/2022,31/12/2020,MICRO ENTITY,23/02/2017,26/01/2016,0,0,0,0,46900 - Non-specialised wholesale trade,"","","",0,0,http://business.data.gov.uk/id/company/09406132,21/04/2015,FOUNDRY METALLURGICAL PARTNERS LTD LTD,"","","","","","","","","","","","","","","","","","",16/06/2022,02/06/2021
FOUNDRY NOTTINGHAM LIMITED,11168323,"","",C/O MICHAEL HEAVEN & ASSOCIATES LIMITED 47 CALTHORPE ROAD,EDGBASTON,BIRMINGHAM,WEST MIDLANDS,UNITED KINGDOM,B15 1TH,Private Limited Company,Active,United Kingdom,"",24/01/2018,30,4,31/01/2023,30/04/2021,UNAUDITED ABRIDGED,21/02/2019,"",2,2,0,0,68100 - Buying and selling of own real estate,68209 - Other letting and operating of own or leased real estate,"","",0,0,http://business.data.gov.uk/id/company/11168323,02/07/2018,FOUNDRY 65 LIMITED,"","","","","","","","","","","","","","","","","","",24/07/2022,10/07/2021
FOUNDRY VENTURES LTD,10224036,"",4385,10224036: COMPANIES HOUSE DEFAULT ADDRESS,"",CARDIFF,"","",CF14 8LH,Private Limited Company,Active - Proposal to Strike off,United Kingdom,"",09/06/2016,30,6,31/03/2022,30/06/2020,DORMANT,07/07/2017,"",0,0,0,0,63120 - Web portals,"","","",0,0,http://business.data.gov.uk/id/company/10224036,"","","","","","","","","","","","","","","","","","","","",22/11/2021,08/11/2020
FOUNTAIN (HYTHE) LIMITED,11957073,"","",9 PRIEST CROFT DRIVE,BLACKFIELD,SOUTHAMPTON,"",UNITED KINGDOM,SO45 1SF,Private Limited Company,Active - Proposal to Strike off,United Kingdom,"",23/04/2019,30,4,23/04/2021,"",NO ACCOUNTS FILED,21/05/2020,"",0,0,0,0,56101 - Licensed restaurants,56302 - Public houses and bars,"","",0,0,http://business.data.gov.uk/id/company/11957073,"","","","","","","","","","","","","","","","","","","","",06/05/2021,22/04/2020
FOUNTAIN BAR (COATBRIDGE) LIMITED,SC573099,"","",62 WEST GEORGE STREET,"",COATBRIDGE,"",SCOTLAND,ML5 2BZ,Private Limited Company,Active - Proposal to Strike off,United Kingdom,"",08/08/2017,31,8,31/08/2021,31/08/2019,MICRO ENTITY,05/09/2018,"",0,0,0,0,56302 - Public houses and bars,"","","",0,0,http://business.data.gov.uk/id/company/SC573099,"","","","","","","","","","","","","","","","","","","","",21/08/2022,07/08/2021
